DYREKTOR FINANSOWY w przedsiębiorstwie handlowym - Domino Polska; https://www.olx.pl/oferta/praca/dyrektor-finansowy-w-przedsiebiorstwie-handlowym-domino-polska-CID4-IDNylfy.html#2aa0826ec8
Asystentka księgowej; https://www.olx.pl/oferta/praca/asystentka-ksiegowej-CID4-IDIFOe9.html#2aa0826ec8
Pracownik Administracyjno - Biurowy; https://www.olx.pl/oferta/praca/pracownik-administracyjno-biurowy-CID4-IDNupzO.html#83db3813dc;promoted
Praca - fakturzysta/magazynier; https://www.olx.pl/oferta/praca/praca-fakturzysta-magazynier-CID4-IDGnd5p.html#83db3813dc
Pracownik biurowy Piekarnia "WŁODEK"; https://www.olx.pl/oferta/praca/pracownik-biurowy-piekarnia-wlodek-CID4-IDNtTjT.html#83db3813dc
Praca Referent ds biurowych asystentka; https://www.olx.pl/oferta/praca/praca-referent-ds-biurowych-asystentka-CID4-IDJMnK6.html#83db3813dc
Kancelaria Notarialna - asystent notariusza; https://www.olx.pl/oferta/praca/kancelaria-notarialna-asystent-notariusza-CID4-IDNeKfw.html#83db3813dc
Zdalny Księgowy/Księgowa inFakt; https://www.pracuj.pl/praca/zdalny-ksiegowy-ksiegowa-infakt-bielawa,oferta,8725642?sort=0
Młodszy Księgowy/Księgowa inFakt; https://www.pracuj.pl/praca/mlodszy-ksiegowy-ksiegowa-infakt-bielawa,oferta,8714950?sort=0
Mobilny Specjalista ds. Księgowości; https://www.pracuj.pl/praca/mobilny-specjalista-ds-ksiegowosci-bielawa,oferta,8715403?sort=4
Mobilny Przedstawiciel Kancelarii w Dziale Obsługi, Sprzedaży Mobilnej Kancelarii; https://www.pracuj.pl/praca/mobilny-przedstawiciel-kancelarii-w-dziale-obslugi-sprzedazy-mobilnej-kancelarii-dzierzoniow,oferta,8677631?sort=2
Dyrektor - Właściciel Placówki Franczyzowej; https://www.pracuj.pl/praca/dyrektor-wlasciciel-placowki-franczyzowej-bielawa,oferta,8669879?sort=2
Właściciel multiagencji ubezpieczeniowej; https://www.pracuj.pl/praca/wlasciciel-multiagencji-ubezpieczeniowej-bielawa,oferta,8675419?sort=1
Księgowa / Specjalista ds. księgowości z SAP; https://www.pracuj.pl/praca/ksiegowa-specjalista-ds-ksiegowosci-z-sap-dzierzoniow,oferta,1001446922?sort=4
Księgowy / Księgowa; https://www.pracuj.pl/praca/ksiegowy-ksiegowa-dzierzoniow,oferta,1001484740?sort=4
Merchandiser - Audytor; https://www.pracuj.pl/praca/merchandiser-audytor-dzierzoniow,oferta,8708599?sort=4
Specjalista ds. Zakupów / Purchasing Specialist; https://www.pracuj.pl/praca/specjalista-ds-zakupow-purchasing-specialist-dzierzoniow,oferta,1001493154?sort=4
Planista Produkcji ; https://www.pracuj.pl/praca/planista-produkcji-dzierzoniow,oferta,1001503467?sort=3
Zdalny Specjalista ds. Księgowości; https://www.pracuj.pl/praca/zdalny-specjalista-ds-ksiegowosci-bielawa,oferta,9091096?sort=0
Zdalny/Zdalna Księgowy/Księgowa inFakt KH; https://www.pracuj.pl/praca/zdalny-zdalna-ksiegowy-ksiegowa-infakt-kh-bielawa,oferta,9007647?sort=0
Zdalny/Zdalna Księgowy/Księgowa inFakt KPIR; https://www.pracuj.pl/praca/zdalny-zdalna-ksiegowy-ksiegowa-infakt-kpir-bielawa,oferta,9062953?sort=0
Główna/y Księgowa/y; https://www.pracuj.pl/praca/glowna-y-ksiegowa-y-dzierzoniow,oferta,1001780712?sort=0
Starszy Opiekun Finansowy; https://www.pracuj.pl/praca/starszy-opiekun-finansowy-dzierzoniow,oferta,1001835547?sort=0
Główna Księgowa / Główny Księgowy; https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-dzierzoniow,oferta,1001822422?sort=0
Zdalny Księgowy inFakt | Pełna Księgowość; https://www.pracuj.pl/praca/zdalny-ksiegowy-infakt-pelna-ksiegowosc-bielawa,oferta,9138940?sort=0
Zdalny Księgowy inFakt | Uproszczona Księgowość; https://www.pracuj.pl/praca/zdalny-ksiegowy-infakt-uproszczona-ksiegowosc-bielawa,oferta,9191826?sort=0
Plant Controller; https://www.pracuj.pl/praca/plant-controller-dzierzoniow,oferta,1001885153?sort=0
Kontroler Finansowy; https://www.pracuj.pl/praca/kontroler-finansowy-dzierzoniow,oferta,1001855694?sort=0
Starszy Opiekun Finansowy Stefczyk Finanse, miejscowość Dzierżoniów; https://www.olx.pl/oferta/praca/starszy-opiekun-finansowy-stefczyk-finanse-miejscowosc-dzierzoniow-CID4-IDJfYLU.html
Specjalista ds. uproszczonej księgowości praca dodatkowa; https://www.olx.pl/oferta/praca/specjalista-ds-uproszczonej-ksiegowosci-praca-dodatkowa-CID4-IDPwT3w.html?reason=extended_search_extended_distance
Pracownik działu obiegu dokumentów, pracownik biurowy; https://www.olx.pl/oferta/praca/pracownik-dzialu-obiegu-dokumentow-pracownik-biurowy-CID4-IDPFH4k.html
Pracownik Działu Rejestracji i Pozwoleń; https://www.olx.pl/oferta/praca/pracownik-dzialu-rejestracji-i-pozwolen-CID4-IDPAw2e.html?reason=extended_search_extended_distance
